 ,main_category,sub_category,child_category,product_name,product_feature_image,product_description,current_price,previous_price,stock,size,size_quantity,size_extra_price,colors,tags,youtube,policy,meta_tag,meta_description,product_type,affiliate_link
123343561,FISH & MEAT,FISH,SWEET WATER FISH,HAOR MIX,,This is product Description,20,25,10,,"22,23","5,8","#000000,#9c1515,#24f015,#050bc2,#d1900c","Fresh Food, Organic Food, Vegetable, Meat, Fish",,Test policy,,,normal,
,FISH & MEAT,FISH,SWEET WATER FISH,HILSHA,,,,,,1.2,,,,,,,,,normal,
,FISH & MEAT,FISH,SWEET WATER FISH,HILSHA,,,,,,0.5,,,,,,,,,normal,
,FISH & MEAT,FISH,SWEET WATER FISH,HILSHA,,,,,,0.9,,,,,,,,,normal,
,FISH & MEAT,FISH,SWEET WATER FISH,KASKI,,,,,,1,,,,,,,,,normal,
,FISH & MEAT,FISH,SWEET WATER FISH,KASKI,,,,,,2,,,,,,,,,normal,
,FISH & MEAT,FISH,SWEET WATER FISH,KATOL,,,,,,2.5,,,,,,,,,normal,
,FISH & MEAT,FISH,SWEET WATER FISH,KATOL,,,,,,5,,,,,,,,,normal,
,FISH & MEAT,FISH,SWEET WATER FISH,KOI,,,,,,,,,,,,,,,normal,
,FISH & MEAT,FISH,SWEET WATER FISH,KORAL,,,,,,1,,,,,,,,,normal,
,FISH & MEAT,FISH,SWEET WATER FISH,MAGUR (CAT FISH),,,,,,,,,,,,,,,normal,
,FISH & MEAT,FISH,SWEET WATER FISH,PABDA BIG,,,,,,,,,,,,,,,normal,
,FISH & MEAT,FISH,SWEET WATER FISH,PABDA SMALL,,,,,,,,,,,,,,,normal,
,FISH & MEAT,FISH,SWEET WATER FISH,RUI FISH,,,,,,2.5,,,,,,,,,normal,
,FISH & MEAT,FISH,SWEET WATER FISH,RUI FISH,,,,,,3.5,,,,,,,,,normal,
,FISH & MEAT,FISH,SWEET WATER FISH,SHING LOCAL,,,,,,,,,,,,,,,normal,
,FISH & MEAT,FISH,SWEET WATER FISH,SHRIMP BAGDA,,,,,,,,,,,,,,,normal,
,FISH & MEAT,FISH,SWEET WATER FISH,SHRIMP GOLDA,,,,,,,,,,,,,,,normal,
,FISH & MEAT,FISH,SWEET WATER FISH,SHRIMP HORINA,,,,,,,,,,,,,,,normal,
